year,currency,rate_to_ron
2025,PHP,0.081
2025,PKR,0.0166
2025,PLN,1.168
2025,PYG,0.00061
2025,QAR,1.278
2025,RSD,0.0426
2025,RWF,0.00348
2025,SAR,1.239
2025,SEK,0.455
2025,SGD,3.502
2025,SOS,0.0081
2025,THB,0.13
2025,TND,1.49
2025,TRY,0.123
2025,TTD,0.688
2025,TWD,0.142
2025,TZS,0.00178
2025,UAH,0.122
2025,UGX,0.0012
2025,USD,4.65
2025,UYU,0.109
2025,UZS,0.000365
2025,VND,0.000185
2025,XAF,0.00759
2025,XOF,0.00759
2025,ZAR,0.255
2025,ZMW,0.177
